EPG Filter Report
-------------------

Playlist Summary:
  Total unique tvg-id entries   : 148
  #EXTINF lines with tvg-id     : 150
  #EXTINF lines without tvg-id  : 43

EPG Matching:
  Channels found in EPG         : 84
  Channels NOT found            : 64

--------------------------------------------------------------------------------
Channel Name               ID                           Source(s)                                                                        
-----------------------------------------------------------------------------------------------------------------------------------------
8TV                        1122                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Al-Hijrah                  369680                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Al-Jazeera (English)       3416                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Animal Planet              Animal.Planet.HD.us2         https://epgshare01.online/epgshare01/epg_ripper_ALL_SOURCES1.xml.gz              
AsianCrush                 AsianCrush.us                https://iptv-epg.org/files/epg-us.xml.gz                                         
Astro Arena Bola           4209                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Astro Arena Bola 2         4215                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Astro Awani                3958                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Astro Badminton            397400                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Astro Football             397399                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
AXN Asia                   369716                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
BBC Earth                  4030                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
BBC News                   464746                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Bein Sports 1              399482                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Bein Sports 2              4146                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Bein Sports 3              3118                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Berita RTM                 370132                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Bernama                    1835                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Billiard TV                BilliardTV.us                https://iptv-epg.org/files/epg-us.xml.gz                                         
Cartoon Network            Cartoon.Network.HD.us2       https://epgshare01.online/epgshare01/epg_ripper_ALL_SOURCES1.xml.gz              
CBS News 24/7              464941                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Cinemax                    Cinemax.HD.us2               https://epgshare01.online/epgshare01/epg_ripper_ALL_SOURCES1.xml.gz              
CNA                        CNA.sg                       https://iptv-epg.org/files/epg-sg.xml.gz                                         
Crunchyroll                Crunchyroll.us               https://iptv-epg.org/files/epg-us.xml.gz                                         
